SeriesId,Year,Period,Label,Value,Race,Gender
LEU0252936300,2009,A01,2009 Annual,894,White,Women
LEU0252936300,2010,A01,2010 Annual,918,White,Women
LEU0252936300,2011,A01,2011 Annual,939,White,Women
LEU0252936300,2012,A01,2012 Annual,939,White,Women
LEU0252936300,2013,A01,2013 Annual,962,White,Women
LEU0252936300,2014,A01,2014 Annual,975,White,Women
LEU0252936300,2015,A01,2015 Annual,981,White,Women
LEU0252936300,2016,A01,2016 Annual,1005,White,Women
LEU0252936300,2017,A01,2017 Annual,1031,White,Women
LEU0252936300,2018,A01,2018 Annual,1051,White,Women
LEU0252936300,2019,A01,2019 Annual,1107,White,Women
LEU0252936300,2020,A01,2020 Annual,1142,White,Women
LEU0252936300,2021,A01,2021 Annual,1180,White,Women
LEU0252936300,2022,A01,2022 Annual,1261,White,Women
LEU0252936300,2023,A01,2023 Annual,1337,White,Women
LEU0252936900,2000,A01,2000 Annual,890,White,Women
LEU0252936900,2001,A01,2001 Annual,917,White,Women
LEU0252936900,2002,A01,2002 Annual,933,White,Women
LEU0252936900,2003,A01,2003 Annual,964,White,Women
LEU0252936900,2004,A01,2004 Annual,981,White,Women
LEU0252936900,2005,A01,2005 Annual,1014,White,Women
LEU0252936900,2006,A01,2006 Annual,1028,White,Women
LEU0252936900,2007,A01,2007 Annual,1072,White,Women
LEU0252936900,2008,A01,2008 Annual,1130,White,Women
LEU0252936900,2009,A01,2009 Annual,1149,White,Women
LEU0252936900,2010,A01,2010 Annual,1169,White,Women
LEU0252936900,2011,A01,2011 Annual,1163,White,Women
LEU0252936900,2012,A01,2012 Annual,1164,White,Women
LEU0252936900,2013,A01,2013 Annual,1193,White,Women
LEU0252936900,2014,A01,2014 Annual,1188,White,Women
LEU0252936900,2015,A01,2015 Annual,1206,White,Women
LEU0252936900,2016,A01,2016 Annual,1260,White,Women
LEU0252936900,2017,A01,2017 Annual,1306,White,Women
LEU0252936900,2018,A01,2018 Annual,1330,White,Women
LEU0252936900,2019,A01,2019 Annual,1359,White,Women
LEU0252936900,2020,A01,2020 Annual,1406,White,Women
LEU0252936900,2021,A01,2021 Annual,1465,White,Women
LEU0252936900,2022,A01,2022 Annual,1540,White,Women
LEU0252936900,2023,A01,2023 Annual,1591,White,Women
LEU0254931800,2000,A01,2000 Annual,514,White,Women
LEU0254931800,2001,A01,2001 Annual,530,White,Women
LEU0254931800,2002,A01,2002 Annual,559,White,Women
LEU0254931800,2003,A01,2003 Annual,573,White,Women
