Year,Occupation,Total_Number,Men_Number,Women_Number,Total_MedianEarnings,Men_MedianEarnings,Women_MedianEarnings
2017,Sales and Office Occupations,23753528,9962622,13790906,40078,47360,36103
2017,Sales and Related Occupations,10133059,5927866,4205193,45567,52335,35512
2017,Transportation and Material Moving Occupations,6852836,5871227,981609,37079,39715,28344
2017,Construction and Extraction Occupations,6025290,5857738,167552,41334,41422,35760
2017,"Computer, Engineering, and Science Occupations",7632074,5800427,1831647,81256,84802,71502
2017,Production Occupations,7197169,5306230,1890939,37542,41565,29317
2017,"Education, Legal, Community Service, Arts, and Media Occupations",10873395,4072646,6800749,51525,60609,48245
2017,Office and Administrative Support Occupations,13620469,4034756,9585713,37050,40709,36261
2017,"Installation, Maintenance, and Repair Occupations",3985231,3839984,145247,46973,47168,41113
2017,Transportation Occupations,4118728,3667169,451559,42227,44173,31941
2017,Computer and Mathematical Occupations,4091529,3091982,999547,83469,87012,75555
2017,Business and Financial Operations Occupations,6327592,2884605,3442987,65590,75902,59584
2017,Driver/sales workers and truck drivers,2728976,2585286,143690,43252,44476,31491
2017,"Managers, all other",3899979,2536832,1363147,80402,86960,68744
2018,"Natural Resources, Construction, and Maintenance Occupations:",10852297,10398640,453657,42822,43592,33877
2018,Sales and Office Occupations:,22657990,9302479,13355511,41220,50679,37068
2018,Transportation and Material Moving Occupations:,8119366,6745419,1373947,36551,39189,28339
2018,"Computer, Engineering, and Science Occupations:",8095862,6081337,2014525,81695,85843,72103
2018,Construction and Extraction Occupations:,6166725,5983193,183532,41943,42023,37272
2018,Sales and Related Occupations:,10130887,5893182,4237705,46617,54754,36519
2018,Production Occupations:,7221510,5310063,1911447,39918,42766,30617
2018,"Education, Legal, Community Service, Arts, and Media Occupations:",11008551,4107006,6901545,52372,61666,49995
2018,Transportation Occupations:,4376399,3894093,482306,44469,46008,32858
2018,"Installation, Maintenance, and Repair Occupations:",3999085,3856978,142107,48373,48691,42132
2018,Office and Administrative Support Occupations:,12527103,3409297,9117806,39013,44296,37220
2018,Business and Financial Operations Occupations:,7088377,3332992,3755385,69520,79998,61601
2018,Computer and Mathematical Occupations:,4371077,3255410,1115667,85063,89396,75914
2018,Material Moving Occupations:,3742967,2851326,891641,30816,31792,26535
2018,Driver/sales workers and truck drivers,2877771,2724636,153135,45520,46192,31561
2019,"Natural Resources, Construction, and Maintenance Occupations:",11085254,10626018,459236,45217,45682,32398
2019,Sales and Office Occupations:,22067147,8914814,13152333,41232,50536,37229
2019,Transportation and Material Moving Occupations:,8237468,6827934,1409534,37188,40383,28923
2019,"Computer, Engineering, and Science Occupations:",8747777,6532159,2215618,84801,88755,75030
2019,Construction and Extraction Occupations:,6272018,6090679,181339,42942,43525,35282
2019,Sales and Related Occupations:,9988596,5710358,4278238,46454,54461,36458
2019,Production Occupations:,7324192,5351516,1972676,40136,43346,30856
2019,"Education, Legal, Community Service, Arts, and Media Occupations:",11641414,4250685,7390729,53149,61996,50476
2019,"Installation, Maintenance, and Repair Occupations:",4175469,4017924,157545,50152,50347,41472
2019,Transportation Occupations:,4454627,3959754,494873,45487,46894,32462
2019,Computer and Mathematical Occupations:,4554097,3375006,1179091,87148,91377,77356
2019,Business and Financial Operations Occupations:,7130983,3317732,3813251,70234,80061,62437
2019,Office and Administrative Support Occupations:,12078551,3204456,8874095,39299,43475,37457
2019,Material Moving Occupations:,3782841,2868180,914661,31293,32305,26999
