occupation_group,occupation,total_number_of_workers,total_median_weekly_earnings,men_number_of_workers,men_median_weekly_earnings,women_number_of_workers,women_median_weekly_earnings
Healthcare practitioners and technical occupations,Dental hygienists,106,"1,326",5,–,100,"1,276"
Healthcare practitioners and technical occupations,Cardiovascular technologists and technicians,33,–,14,–,18,–
Healthcare practitioners and technical occupations,Diagnostic medical sonographers,87,"1,343",29,–,58,"1,286"
Healthcare practitioners and technical occupations,Radiologic technologists and technicians,204,"1,412",68,"1,483",136,"1,321"
Healthcare practitioners and technical occupations,Magnetic resonance imaging technologists,41,–,8,–,33,–
Healthcare practitioners and technical occupations,Nuclear medicine technologists and medical dosimetrists,35,–,19,–,16,–
Healthcare practitioners and technical occupations,Emergency medical technicians,119,"1,101",78,"1,170",41,–
Healthcare practitioners and technical occupations,Paramedics,102,"1,318",70,"1,349",32,–
Healthcare practitioners and technical occupations,Pharmacy technicians,244,903,55,992,189,886
Healthcare practitioners and technical occupations,Psychiatric technicians,99,885,37,–,62,895
Healthcare practitioners and technical occupations,Surgical technologists,95,"1,244",18,–,77,"1,235"
Healthcare practitioners and technical occupations,Veterinary technologists and technicians,99,829,11,–,88,817
Healthcare practitioners and technical occupations,Dietetic technicians and ophthalmic medical technicians,46,–,14,–,32,–
Healthcare practitioners and technical occupations,Licensed practical and licensed vocational nurses,479,988,59,"1,018",420,984
Healthcare practitioners and technical occupations,Medical records specialists,184,918,22,–,162,946
Healthcare practitioners and technical occupations,"Opticians, dispensing",37,–,7,–,30,–
Healthcare practitioners and technical occupations,Miscellaneous health technologists and technicians,119,"1,035",25,–,94,"1,014"
Healthcare practitioners and technical occupations,Other healthcare practitioners and technical occupations,80,"1,372",30,–,51,"1,203"
Healthcare support occupations,Home health aides,330,644,59,709,271,625
Healthcare support occupations,Personal care aides,903,679,190,751,713,668
Healthcare support occupations,Nursing assistants,899,700,95,765,804,695
Healthcare support occupations,Orderlies and psychiatric aides,48,–,19,–,29,–
Healthcare support occupations,Occupational therapy assistants and aides,22,–,6,–,16,–
