"Year","Men_Bucket","Women_Bucket","Total_Men","Total_Women","Top_Jobs_Men","Top_Jobs_Women"
2022,"$90000-1e+05","$30000-40000",13411,511,"",""
2022,"$90000-1e+05","$40000-50000",116681,8606,"",""
2022,"$90000-1e+05","$50000-60000",40453,1101,"",""
2022,"$90000-1e+05","$60000-70000",219862,212064,"",""
2022,"$90000-1e+05","$70000-80000",7683031,12335047,"",""
2022,"$90000-1e+05","$80000-90000",11586314,3972110,"",""
2022,"$90000-1e+05","$90000-1e+05",392830,68791,"",""
2022,"$90000-1e+05","$1e+05-110000",12542,3011,"",""
2022,"$1e+05-110000","$30000-40000",28510,337,"",""
2022,"$1e+05-110000","$60000-70000",48073,133185,"",""
2022,"$1e+05-110000","$70000-80000",117446,96870,"",""
2022,"$1e+05-110000","$80000-90000",7834812,4142541,"",""
2022,"$1e+05-110000","$90000-1e+05",1115512,684883,"",""
2022,"$1e+05-110000","$1e+05-110000",667517,96594,"",""
2022,"$1e+05-110000","$110000-120000",44032,3735,"",""
2022,"$1e+05-110000","$120000-130000",21461,7084,"",""
2022,"$1e+05-110000",NA,4023,32,"","Agricultural engineers"
2022,"$110000-120000","$70000-80000",709439,786297,"",""
2022,"$110000-120000","$80000-90000",150719,51351,"",""
2022,"$110000-120000","$90000-1e+05",15768,13480,"",""
2022,"$110000-120000","$1e+05-110000",535326,77681,"",""
2022,"$110000-120000","$110000-120000",68332,16784,"",""
2022,"$120000-130000","$80000-90000",372095,166318,"",""
2022,"$120000-130000","$1e+05-110000",66478,19243,"",""
2022,"$120000-130000","$110000-120000",1586781,532867,"",""
